Year,City,Population,Number of aggravated burglaries ,Length of electrical cable (m),Number of Dwellings
2010,Abilene (TX),117063,5,208977,47311
2010,Akron (OH),199110,9,231951,92276
2010,Albuquerque (NM),545852,190,714661,206262
2010,Alexandria (VA),139966,31,196774,67802
2010,Allentown (PA),118032,7,156801,47260
2010,Amarillo (TX),190695,50,268957,66537
2010,Anaheim (CA),336265,157,507444,161030
2010,Anchorage (AK),291826,67,395529,132211
2010,Ann Arbor (MI),113934,40,187484,43516
2010,Antioch (CA),102372,6,157218,40107
2010,Arlington (TX),365438,214,459101,133509
2010,Arlington (VA),207627,15,284455,85076
2010,Arvada (CO),106433,24,138619,38551
2010,Athens (GA),115452,5,181915,48346
2010,Atlanta (GA),420003,100,509563,190780
2010,Augusta (GA),195844,90,297798,55495
2010,Aurora (CO),325078,103,379263,117786
2010,Aurora (IL),197899,48,273783,85411
2010,Austin (TX),790390,125,978971,337664
2010,Bakersfield (CA),347483,19,404451,127666
2010,Baltimore (MD),620961,258,707293,296862
2010,Baton Rouge (LA),229493,24,275138,82125
2010,Beaumont (TX),118296,27,161754,55052
2010,Bellevue (WA),122363,4,181915,50713
2010,Berkeley (CA),112580,15,180374,44710
2010,Billings (MT),104170,18,139867,42905
2010,Birmingham (AL),212237,52,262050,89769
2010,Boise City (ID),205671,62,241895,83719
2010,Boston (MA),617594,210,469031,275936
2010,Brandon (FL),103483,4,152456,43824
2010,Bridgeport (CT),144229,2,210337,64466
2010,Brownsville (TX),175023,14,239114,67589
2010,Buffalo (NY),261310,113,330046,108270
2010,Burbank (CA),103340,6,179882,43443
2010,Carlsbad (CA),105328,29,140014,45145
2010,Cambridge (MA),105162,6,159953,42480
2010,Cape Coral (FL),154305,11,214057,64358
2010,Carrollton (TX),119097,2,154607,51972
2010,Cary (NC),135234,14,182415,50701
2010,Cedar Rapids (IA),126326,63,155410,53455
2010,Centennial (CO),100377,21,133808,34043
2010,Chandler (AZ),236123,46,322386,77409
2010,Charleston (SC),120083,3,192571,47882
2010,Charlotte (NC),731424,313,958349,245545
2010,Chattanooga (TN),167674,84,275676,83196
2010,Chesapeake (VA),222209,81,307449,103093
2010,Chicago (IL),2695598,1930,1921579,1184305
2010,Chula Vista (CA),243916,76,324035,92868
2010,Cincinnati (OH),296943,132,326254,124592
2010,Clarksville (TN),132929,49,180922,54076
2010,Clearwater (FL),107685,16,149166,50922
2010,Cleveland (OH),396815,252,495205,168936
2010,Colorado Springs (CO),416427,6,438089,171987
2010,Columbia (MO),108500,10,181889,46909
2010,Columbia (SC),129272,62,197674,65380
2010,Columbus (GA),189885,4,187138,102410
2010,Columbus (OH),787033,314,880213,310230
2010,Concord (CA),122067,27,156494,46051
2010,Coral Springs (FL),121096,34,177224,53308
2010,Corona (CA),152374,57,244821,58430
2010,Corpus Christi (TX),305215,171,400290,131991
2010,Costa Mesa (CA),109960,34,161142,41464
2010,Dallas (TX),1197816,421,1029610,536325
2010,Daly City (CA),101123,21,151941,34136
2010,Dayton (OH),141527,32,138655,61390
2010,Denton (TX),113383,37,164252,50215
2010,Denver (CO),600158,225,616074,236574
2010,Des Moines (IA),203433,69,279076,82367
2010,Detroit (MI),713777,123,982870,319260
2010,Downey (CA),111772,39,130231,49929
2010,Durham (NC),228330,114,262986,66538
2010,East Los Angeles (CA),126496,76,184026,61292
2010,El Monte (CA),113475,13,141320,44608
2010,El Paso (TX),649121,423,884067,287142
2010,Elgin (IL),108188,31,172961,42772
2010,Elizabeth (NJ),124969,10,177309,57203
2010,Elk Grove (CA),153015,9,188592,67082
2010,Enterprise (NV),108481,9,166888,45554
2010,Erie (PA),101786,36,159025,39710
2010,Escondido (CA),143911,25,253676,61301
2010,Eugene (OR),156185,71,210045,52002
2010,Evansville (IN),117429,22,142419,49319
2010,Everett (WA),103019,20,167877,39697
2010,Fairfield (CA),105321,19,165000,42470
2010,Fargo (ND),105549,36,146498,41746
2010,Fayetteville (NC),200564,53,284959,87287
2010,Flint (MI),102434,8,164064,43288
2010,Fontana (CA),196069,101,190615,81225
2010,Fort Collins (CO),143986,56,232805,60507
2010,Fort Lauderdale (FL),165521,40,218578,66919
2010,Fort Wayne (IN),253691,11,313230,105810
2010,Fort Worth (TX),741206,370,819921,341511
2010,Fremont (CA),214089,46,223001,106796
2010,Fresno (CA),494665,236,675565,218304
2010,Frisco (TX),116989,37,210467,44202
2010,Fullerton (CA),135161,4,253048,71806
2010,Gainesville (FL),124354,50,169118,39496
2010,Garden Grove (CA),170883,28,248659,76393
2010,Garland (TX),226876,8,341666,103622
2010,Gilbert (AZ),208453,41,249667,100718
2010,Glendale (AZ),226721,4,231654,79834
2010,Glendale (CA),191719,18,277424,70045
2010,Grand Prairie (TX),175396,2,222340,64954
2010,Grand Rapids (MI),188040,37,246921,65516
2010,Green Bay (WI),104057,24,132842,51179
2010,Greensboro (NC),269666,15,314374,140641
2010,Gresham (OR),105594,7,184124,37103
2010,Hampton (VA),137436,19,212413,52336
2010,Hartford (CT),124775,6,161190,52358
2010,Hayward (CA),144186,69,201993,51315
