,Year,Country ISO3 Code,Country,Population,gdp ($),Food Imports ($),Fuel Imports ($)
1,2005,ABW,Aruba,100031,1.16024E+12,97166150,32335285
2,2005,AFG,Afghanistan,24860855,6275076016,528341972,461521897
3,2005,AGO,Angola,16544376,28233699240,1075607744,48218538
4,2005,ALB,Albania,3196130,8376483740,365646860,216340169
5,2005,AND,Andorra,81223,2539759286,293247938,104451235
6,2005,ARE,United Arab Emirates,4148883,1.80617E+11,3456042379,5789881124
7,2005,ARG,Argentina,38647854,1.83193E+11,525514053,734620479
8,2005,ARM,Armenia,3014917,4900436759,285037264,188432363
9,2005,ATG,Antigua and Barbuda,82565,1001970945,129034921,268590687
10,2005,AUS,Australia,20520736,6.92354E+11,5080110265,5325728543
11,2005,AUT,Austria,8238604,3.04984E+11,5900208123,4964865256
12,2005,AZE,Azerbaijan,8563398,13245421881,358286881,169270897
13,2005,BDI,Burundi,7770392,1117254387,32458141,49364237
14,2005,BEL,Belgium,10508080,3.7735E+11,17645826077,13721621879
15,2005,BEN,Benin,8182362,4358015993,544026350,291934638
16,2005,BFA,Burkina Faso,13421929,5462709055,213698238,231090895
17,2005,BGD,Bangladesh,143135180,60277560976,1356784999,1133206926
18,2005,BGR,Bulgaria,7683264,28895083540,757460488,1134710929
19,2005,BHR,Bahrain,879534,13460198290,519074707,240948983
20,2005,BHS,Bahamas,329088,7706222000,528103336,1458974407
21,2005,BIH,Bosnia and Herzegovina,3879828,10948051122,1112449237,820983610
22,2005,BLR,Belarus,9664714,30210091837,1440314718,238117574
23,2005,BLZ,Belize,271920,1114874608,72893582,167523711
24,2005,BMU,Bermuda,64137,4868136000,87443518,72172758
25,2005,BOL,Bolivia,9354709,9549196302,162897936,237832588
26,2005,BRA,Brazil,186142403,8.82186E+11,1912078719,3779952355
27,2005,BRB,Barbados,273568,3891500000,221493189,374889533
28,2005,BRN,Brunei Darussalam,367815,9531402830,145690041,27757794
29,2005,BTN,Bhutan,650417,818869146,50699678,54592445
30,2005,BWA,Botswana,1875805,10255540554,350623208,376050856
31,2005,CAF,Central African Republic,3960897,1350047680,55612106,53073197
32,2005,CAN,Canada,32253092,1.13376E+12,11718210585,4247189032
33,2005,CHE,Switzerland,7408608,3.88412E+11,5013933117,8299010214
34,2005,CHL,Chile,16337749,1.24404E+11,1544659452,2460121964
35,2005,CHN,China,1318176835,2.2569E+12,13831495804,18135679064
36,2005,CIV,Cote d'Ivoire,17393994,16363437145,759281806,75868413
37,2005,CMR,Cameroon,18137734,16587921221,440783941,61777209
38,2005,COD,Democratic Republic of the Congo,54028003,7191141825,305822131,228048120
39,2005,COG,Congo,3542867,6087002682,244361558,43502006
40,2005,COL,Colombia,43184026,1.4652E+11,1032723660,653795773
41,2005,COM,Comoros,600733,387036132,58714195,15051138
42,2005,CPV,Cape Verde,478651,971976952,201278767,91876735
43,2005,CRI,Costa Rica,4320130,19964893792,426425262,759680232
44,2005,CUB,Cuba,11292078,42644200000,1202000290,1390541568
45,2005,CYP,Cyprus,1032586,16997801392,760847600,1590584190
46,2005,CZE,Czech Republic,10230683,1.30052E+11,3133887140,1935494643
47,2005,DEU,Germany,83835978,2.76625E+12,38197387425,11109736833
48,2005,DJI,Djibouti,776585,708633195,106765550,664468249
49,2005,DMA,Dominica,70542,361615918,57681713,46065150
50,2005,DNK,Denmark,5417692,2.57676E+11,6918475604,3039103690
51,2005,DOM,Dominican Republic,9343362,34004033804,1305063496,824992455
52,2005,DZA,Algeria,33960903,1.02339E+11,2190648639,113791260
53,2005,ECU,Ecuador,13777131,41507085000,550453419,817980397
